"id","name","code","account_type","reconcile"
"taimba_4000","Sales","4000","income","False"
"taimba_5100","Purchases","5100","expense_direct_cost","False"
"taimba_51001","Fuel costs","51001","expense_direct_cost","False"
"taimba_53000","Commission","53000","expense_direct_cost","False"
"taimba_51002","Transport","51002","expense_direct_cost","False"
"taimba_51003","Accomodation","51003","expense_direct_cost","False"
"taimba_51010","Cost of Sales / Purchases (Opening Balance)","51010","expense_direct_cost","False"
"taimba_51004","Facilitation (Sourcing)","51004","expense_direct_cost","False"
"taimba_51009","Item Adjustments","51009","expense_direct_cost","False"
"taimba_51005","Travel and Accomodation","51005","expense_direct_cost","False"
"taimba_51006","Wastages","51006","expense_direct_cost","False"
"taimba_51007","Stock loss","51007","expense_direct_cost","False"
"taimba_51008","Discount Allowed","51008","income_other","False"
"taimba_52000","Discount Received","52000","income_other","False"
"taimba_52010","Bad Debts Recovered","52010","income_other","False"
"taimba_52011","Grant Income-Doen Funding","52011","income_other","False"
"taimba_52012","Interest Received","52012","income_other","False"
"taimba_52013","Non operating income","52013","income_other","False"
"cash_diff_income","Cash Difference Gain","52014","income","False"
"cash_diff_expense","Cash Difference Loss","52015","expense","False"
"taimba_610104","Bad Debts","610104","expense","False"
"taimba_610105","Discount Allowed","610105","expense","False"
"taimba_610101","Computer Repairs and Maintenance","610101","expense","False"
"taimba_610103","Repairs & Maintenance","610103","expense","False"
"taimba_610201","Internet","610201","expense","False"
"taimba_610202","Water","610202","expense","False"
"taimba_610203","Electricity","610203","expense","False"
"taimba_610301","Salaries and Wages-Overheads","610301","expense","False"
"taimba_610302","Employers Liabilities-NSSF","610302","expense","False"
"taimba_610303","Staff Medical Scheme","610303","expense","False"
"taimba_610304",Casual,"610304","expense","False"
"taimba_610401","Rent HQ","610401","expense","False"
"taimba_610503","Entertainment","610503","expense","False"
"taimba_610701","Legal Fees","610701","expense","False"
"taimba_610702","Audit Fees","610702","expense","False"
"taimba_610703","Accounting Fees","610703","expense","False"
"taimba_610704","Consultancy","610704","expense","False"
"taimba_620101","Printing and Stationery","620101","expense","False"
"taimba_620103","Licenses Fees","620103","expense","False"
"taimba_620104","Office General Supplies & Expenses","620104","expense","False"
"taimba_620105","Dues and Subscriptions","620105","expense","False"
"taimba_620301","Bank Charges","620301","expense","False"
"taimba_620302","Mpesa Charges","620302","expense","False"
"taimba_630200","Loss on Disposal","630200","expense","False"
"taimba_71000","Corporation Tax Expenses","71000","expense","False"
"taimba_62030","Accounting costs","62030","expense","False"
"taimba_62040","Cleaning Services","62040","expense","False"
"taimba_63050","DEPRECIATION KCD","63050","expense_depreciation","False"
"taimba_63060","DEPRECIATION LAPTOP 4","63060","expense_depreciation","False"
"taimba_63070","DEPRECIATION-KAW","63070","expense_depreciation","False"
"taimba_63080","DEPRECIATION-KBC","63080","expense_depreciation","False"
"taimba_63090","DEPRECIATION-KBN","63090","expense_depreciation","False"
"taimba_63100","DEPRECIATION-LAPTOP 1","63100","expense_depreciation","False"
"taimba_63110","DEPRECIATION-LAPTOP 2","63110","expense_depreciation","False"
"taimba_63120","DEPRECIATION-LAPTOP 3","63120","expense_depreciation","False"
"taimba_63130","Fuel,oil,car wash,other expenses-KBN","63130","expense","False"
"taimba_63140","Fuel,oil,car wash,other expenses-KBC","63140","expense","False"
"taimba_63150","Fuel,oil,car wash,other expenses-KCD","63150","expense","False"
"taimba_63160","Fuel,oil,car wash,other expenses-KAW","63160","expense","False"
"taimba_640072","Insurance","640072","expense","False"
"taimba_620310","marketing and advertising","620310","expense","False"
"taimba_620311","Motor Vehicle Service and Repairs","620311","expense","False"
"taimba_620312","Non operating expense","620312","expense","False"
"taimba_620313","Recruitment charges","620313","expense","False"
"taimba_620314","Salaries & Wages","620314","expense","False"
"taimba_620318","Security","620318","expense","False"
"taimba_620319","Staff Welfare","620319","expense","False"
"taimba_620315","Telephone" ,"620315","expense","False"
"taimba_620316","Transaction costs","620316","expense","False"
"taimba_620317","Travel & Accommodation","620317","expense","False"
"taimba_12060","Inventory","12060","asset_current","False"
"taimba_12070","Accumulated Depreciation-Computer","12070","asset_fixed","False"
"taimba_12080","Accumulated Depreciation-Furniture and Fittings","12080","asset_fixed","False"
"taimba_12090","Accumulated Depreciation-Motor Vehicle","12090","asset_fixed","False"
"taimba_12010","Accumulated Depreciation-Office Equipment","12010","asset_fixed","False"
"taimba_12011","Computer Equipment","12011","asset_fixed","False"
"taimba_11000","DMS SYSTEM","11000","asset_fixed","False"
"taimba_15100","Fixed Asset-Computers","15100","asset_fixed","False"
"taimba_15101","Fixed Asset-Mobile phone","15101","asset_fixed","False"
"taimba_15102","Fixed Assets - Equipment","15102","asset_fixed","False"
"taimba_15103","Fixed Assets - Furniture & Fittings","15103","asset_fixed","False"
"taimba_15104","Fixed Assets - Motor Vehicles","15104","asset_fixed","False"
"taimba_15105","Fixed Assets-Crates","15105","asset_fixed","False"
"taimba_15106","Plant  and Buildings","15106","asset_fixed","False"
"taimba_11080","Plastic pallets","11080","asset_fixed","False"
"taimba_11090","wooden pallet","11090","asset_fixed","False"
"taimba_110100","CBA","110100","asset_cash","False"
"taimba_120101","CBA 2","120101","asset_cash","False"
"taimba_120102","CBA EURO","120102","asset_cash","False"
"taimba_120103","CBA USD","120103","asset_cash","False"
"taimba_120104","Grant Income-1","120104","asset_cash","False"
"taimba_120105","Kenya Commercial Bank","120105","asset_cash","False"
"taimba_120106","KIAMBU TILL","120106","asset_cash","False"
"taimba_120107","NGARA TILL","120107","asset_cash","False"
"taimba_120108","Pangani Till","120108","asset_cash","False"
"taimba_120109","Petty cash","120109","asset_cash","False"
"taimba_120200","Popote wallet","120200","asset_cash","False"
"taimba_120201","Thika Till","120201","asset_cash","False"
"taimba_120202","Inventory Opening Balance","120202","asset_current","False"
"taimba_120203","Trade Receivables","120203","asset_receivable","True"
"taimba_12021","Trade Debtors","12021","asset_receivable","True"
"taimba_120310","Prepaid Insurance","120310","asset_current","False"
"taimba_120330","Prepaid Rent","120330","asset_current","False"
"taimba_120410","Rent paid","120410","asset_current","False"
"taimba_120500","Cash and Bank","120500","asset_cash","False"
"taimba_120510","Cash at Hand","120510","asset_cash","False"
"taimba_120511","Petty Cash","120511","asset_cash","False"
"taimba_120520","Cash at Bank-KES","120520","asset_cash","False"
"taimba_120530","Cash at Bank USD","120530","asset_cash","False"
"taimba_120670","Prepaid Business License","120670","asset_current","False"
"taimba_120680","Prepaid rent","120680","asset_current","False"
"taimba_120690","Staff Loans","120690","asset_current","False"
"taimba_120610","Fixed Assets","120610","liability_non_current","False"
"taimba_120620","Bank Loans","120620","liability_non_current","False"
"taimba_252000","Tax Payable","25200","liability_current","False"
"taimba_21010","Tax Provision","21010","liability_current","False"
"taimba_2101020","VAT Control","21020","liability_current","False"
"taimba_2101051","Net Pay","21051","liability_current","False"
